Hostname input,Hostname output,Check-host,Port,IP input,IP fact,CPU core input,CPU core fact,RAM input,RAM fact,Disk input,Disk fact,Message
10.193.177.222,sdcgisazwhweb05,,,10.193.177.220,10.193.177.222,8,2,55.0301,3.84259,1563.4,571.3,Host from input does not match value from fact file. Host input = 10.193.177.222. Host fact = sdcgisazwhweb05| IP address from input does not match value from fact file.| No. of CPU cores from input does not match  value from fact file.|RAM from input does not match value from fact file.| Disk size from input does not match value from fact file.
10.193.177.223,sdcgisazwhweb06,,,192.168.2.71,10.193.177.223,1,2,1,3.84259,200,571.3,Host from input does not match value from fact file. Host input = 10.193.177.223. Host fact = sdcgisazwhweb06| IP address from input does not match value from fact file.| No. of CPU cores from input does not match  value from fact file.|RAM from input does not match value from fact file.| Disk size from input does not match value from fact file.
